epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,10577.8,0.71796,0.54884,1.04628,0.93036,0.9194,0.96338,0.75605,0.66493,0.41794,0.95313,0.001205,0.001205,0.001205
117,10718.9,0.71329,0.54586,1.04478,0.92642,0.9213,0.96372,0.7569,0.66372,0.41706,0.95243,0.001172,0.001172,0.001172
118,10860.6,0.71698,0.5463,1.04532,0.92582,0.92296,0.96398,0.75771,0.66263,0.41597,0.95168,0.001139,0.001139,0.001139
119,11001.5,0.71237,0.54619,1.04239,0.92554,0.9233,0.96429,0.75807,0.66168,0.41516,0.95103,0.001106,0.001106,0.001106
120,11143.6,0.71277,0.54137,1.04061,0.92561,0.92388,0.96444,0.75863,0.66044,0.41404,0.95024,0.001073,0.001073,0.001073
121,11285.7,0.70761,0.5391,1.04118,0.92614,0.92427,0.96461,0.75913,0.65957,0.41316,0.94966,0.00104,0.00104,0.00104
122,11428.1,0.70922,0.54155,1.04154,0.92761,0.92385,0.9649,0.7599,0.65837,0.41216,0.94886,0.001007,0.001007,0.001007
123,11569.1,0.70343,0.53797,1.03763,0.92951,0.92288,0.96533,0.76082,0.65739,0.41133,0.94816,0.000974,0.000974,0.000974
124,11710.4,0.70509,0.53295,1.03961,0.93019,0.92349,0.96554,0.76118,0.65633,0.41034,0.94741,0.000941,0.000941,0.000941
125,11851.4,0.70528,0.53897,1.03974,0.92924,0.92401,0.96589,0.76195,0.65532,0.40942,0.94668,0.000908,0.000908,0.000908
126,11992.2,0.70329,0.53371,1.03887,0.93351,0.92299,0.96632,0.76244,0.65437,0.40829,0.94607,0.000875,0.000875,0.000875
127,12134.2,0.69886,0.53048,1.03496,0.93364,0.92199,0.96663,0.76312,0.65358,0.40739,0.94545,0.000842,0.000842,0.000842
128,12275.5,0.69721,0.53061,1.03634,0.93006,0.9251,0.96695,0.76413,0.65278,0.40634,0.94486,0.000809,0.000809,0.000809
129,12416.9,0.69413,0.52774,1.03296,0.92692,0.92566,0.96719,0.76392,0.65187,0.40532,0.94438,0.000776,0.000776,0.000776
130,12558.9,0.69443,0.52116,1.03265,0.94121,0.91292,0.96734,0.76439,0.6511,0.40442,0.94374,0.000743,0.000743,0.000743
131,12700.8,0.69024,0.52146,1.03113,0.92669,0.92691,0.96766,0.76493,0.65024,0.40365,0.94305,0.00071,0.00071,0.00071
132,12841.4,0.68901,0.51946,1.03013,0.92573,0.92819,0.96769,0.76516,0.64921,0.4028,0.94241,0.000677,0.000677,0.000677
133,12982.8,0.69562,0.52335,1.03311,0.92388,0.93495,0.96828,0.76543,0.64826,0.40195,0.94173,0.000644,0.000644,0.000644
134,13124.4,0.68928,0.51956,1.03018,0.92421,0.93688,0.96852,0.76601,0.6473,0.40093,0.94106,0.000611,0.000611,0.000611
135,13265.6,0.69105,0.5176,1.02904,0.92334,0.93745,0.96873,0.76656,0.64646,0.40011,0.94046,0.000578,0.000578,0.000578
136,13406.7,0.68656,0.51815,1.02881,0.92491,0.93739,0.9689,0.7675,0.64543,0.39948,0.9398,0.000545,0.000545,0.000545
137,13547.8,0.68661,0.52091,1.02769,0.92468,0.93792,0.96917,0.76751,0.64457,0.39862,0.93921,0.000512,0.000512,0.000512
138,13689.4,0.68303,0.51337,1.02809,0.92592,0.93736,0.96933,0.76794,0.64386,0.39772,0.93871,0.000479,0.000479,0.000479
139,13830.9,0.68075,0.5134,1.02544,0.92538,0.93762,0.96915,0.76779,0.64307,0.3971,0.93816,0.000446,0.000446,0.000446
140,13972.8,0.67908,0.50987,1.02463,0.92598,0.93719,0.96945,0.7679,0.64234,0.39633,0.93757,0.000413,0.000413,0.000413
141,14126.3,0.64305,0.41485,1.00427,0.92634,0.93866,0.9696,0.76807,0.64163,0.39545,0.93708,0.00038,0.00038,0.00038
142,14265.7,0.62778,0.39922,0.99342,0.9268,0.939,0.97022,0.76815,0.64064,0.39481,0.93649,0.000347,0.000347,0.000347
143,14406.2,0.62327,0.39755,0.99384,0.926,0.93928,0.9706,0.76871,0.63991,0.39381,0.93604,0.000314,0.000314,0.000314
144,14546.5,0.61691,0.39063,0.9866,0.92703,0.93906,0.97073,0.76931,0.63921,0.39296,0.93565,0.000281,0.000281,0.000281
145,14686.9,0.61444,0.38847,0.98904,0.92711,0.93993,0.97093,0.76977,0.63831,0.39209,0.93511,0.000248,0.000248,0.000248
146,14826.6,0.61081,0.38694,0.98388,0.92901,0.93645,0.97108,0.7703,0.63741,0.39128,0.93452,0.000215,0.000215,0.000215
147,14967.1,0.6084,0.38261,0.98304,0.92734,0.9383,0.97124,0.77075,0.63636,0.39033,0.93394,0.000182,0.000182,0.000182
148,15107.5,0.60677,0.38314,0.98187,0.92905,0.93521,0.97118,0.77131,0.63568,0.38969,0.9334,0.000149,0.000149,0.000149
149,15247,0.60397,0.38067,0.98019,0.92868,0.93542,0.97141,0.77164,0.63483,0.38863,0.93299,0.000116,0.000116,0.000116
150,15387.1,0.60186,0.38009,0.97989,0.93821,0.92663,0.97169,0.77172,0.63412,0.38782,0.93252,8.3e-05,8.3e-05,8.3e-05
